Ticker Symbol,Security,GICS Sector,GICS Sub Industry,Current Price,Price Change,Volatility,ROE,Cash Ratio,Net Cash Flow,Net Income,Earnings Per Share,Estimated Shares Outstanding,P/E Ratio,P/B Ratio
AMGN,Amgen Inc,Health Care,Biotechnology,162.33,17.16,1.63,25.0,362.0,,6939000000.0,9.15,,17.74,24.01
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,106.42,-2.42,1.22,22.0,67.0,,1562000000.0,8.6,,12.37,-13.4
AMT,American Tower Corp A,Real Estate,Specialized REITs,96.95,10.23,1.17,10.0,39.0,,685074000.0,1.42,,68.27,-20.81
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,675.89,32.27,1.46,4.0,58.0,,596000000.0,1.28,,528.04,3.9
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,59.66,2.35,1.48,19.0,1.0,,442600000.0,3.93,,15.18,-7.97
ANTM,Anthem Inc.,Health Care,Managed Health Care,139.44,-0.62,1.51,11.0,70.0,,2560000000.0,9.73,,14.33,-31.01
AON,Aon plc,Financials,Insurance Brokers,92.21,3.91,1.11,23.0,99.0,,1385000000.0,4.93,,18.7,-7.76
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,44.47,11.4,2.41,917.0,80.0,,-23528000000.0,-61.2,,93.09,4.97
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,48.58,-20.8,2.44,52.0,22.0,,-6692000000.0,-13.18,,93.09,-12.86
APH,Amphenol Corp,Information Technology,Electronic Components,52.23,2.69,1.01,24.0,175.0,,763500000.0,2.47,,21.15,8.2
ARNC,Arconic Inc,Industrials,Aerospace & Defense,7.4,1.65,2.59,3.0,37.0,,-322000000.0,-0.31,,18.69,2.64
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,38.71,23.32,1.89,11.0,70.0,,892000000.0,1.21,,31.99,0.29
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,184.13,4.86,1.13,8.0,47.0,,741733000.0,5.54,,33.24,-3.09
AVGO,Broadcom,Information Technology,Semiconductors,145.15,17.9,1.85,29.0,163.0,,1364000000.0,2.86,,18.25,3.95
AWK,American Water Works Company I,Utilities,Water Utilities,59.75,8.6,1.17,9.0,4.0,,476000000.0,2.66,,22.46,-4.9
AXP,American Express Co,Financials,Consumer Finance,69.55,-6.22,0.9,25.0,99.0,,5163000000.0,3.9,,10.26,-0.61
BA,Boeing Company,Industrials,Aerospace & Defense,144.59,10.11,1.16,82.0,24.0,,5176000000.0,7.52,,19.23,22.03
BAC,Bank of America Corp,Financials,Banks,16.83,8.44,1.42,6.0,99.0,,15888000000.0,4.18,,13.0,-0.94
BAX,Baxter International Inc.,Health Care,Health Care Equipment,38.15,16.7,1.2,11.0,128.0,,968000000.0,1.78,,21.43,8.64
BBT,BB&T Corporation,Financials,Banks,37.81,5.94,1.08,8.0,99.0,,2084000000.0,2.59,,14.6,-0.85
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,189.44,1.55,1.39,9.0,82.0,,135400000.0,1.8,,105.24,-4.13
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,46.15,-12.31,2.56,12.0,84.0,,-1967000000.0,-4.49,,93.09,13.49
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,306.35,4.92,1.83,38.0,133.0,,3547000000.0,15.38,,19.92,0.16
BK,The Bank of New York Mellon Co,Financials,Banks,41.22,5.42,1.2,8.0,99.0,,3158000000.0,2.73,,15.1,-3.32
BLL,Ball Corp,Materials,Metal & Glass Containers,72.73,16.54,1.39,22.0,10.0,,280900000.0,2.05,,35.48,-3.9
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,68.79,16.08,1.5,11.0,53.0,,1565000000.0,0.94,,73.18,0.59
BSX,Boston Scientific,Health Care,Health Care Equipment,18.44,11.76,1.49,4.0,13.0,,-239000000.0,-0.18,,31.47,-3.88
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,43.23,3.47,2.06,17.0,25.0,,609700000.0,2.72,,15.89,1.04
BXP,Boston Properties,Real Estate,REITs,127.54,7.2,1.09,10.0,47.0,,583106000.0,3.79,,33.65,-1.27
C,Citigroup Inc.,Financials,Banks,51.75,4.71,1.26,8.0,99.0,,17242000000.0,5.41,,9.57,-1.17
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Tr,67.96,3.55,1.49,17.0,25.0,,2512000000.0,3.54,,19.2,6.26
CB,Chubb Limited,Financials,Property & Casualty Insurance,116.85,13.19,0.94,10.0,99.0,,2834000000.0,8.71,,13.42,-17.47
CBG,CBRE Group,Real Estate,Real Estate Services,34.58,8.2,1.3,20.0,12.0,,547132000.0,1.64,,21.09,-3.42
CCI,Crown Castle International Cor,Real Estate,REITs,86.45,9.57,0.96,21.0,36.0,,1520992000.0,4.44,,19.47,-10.67
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",54.48,8.94,1.35,7.0,20.0,,1757000000.0,2.26,,24.11,-7.48
CELG,Celgene Corp.,Health Care,Biotechnology,119.76,8.45,2.0,27.0,333.0,,1602000000.0,2.02,,59.29,-4.32
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,40.81,-9.25,2.37,16.0,25.0,,664900000.0,2.97,,13.74,-0.39
CFG,Citizens Financial Group,Financials,Regional Banks,26.19,10.27,1.19,4.0,99.0,,840000000.0,1.55,,16.9,-0.06
CHD,Church & Dwight,Consumer Staples,Household Products,42.44,1.05,0.93,20.0,38.0,,410400000.0,3.13,,13.56,-9.43
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,4.5,-38.1,4.56,687.0,22.0,,-14685000000.0,-22.43,,28.41,-1.84
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,62.02,-9.01,1.19,44.0,12.0,,509699000.0,3.52,,17.62,1.12
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,183.1,3.6,1.7,589.0,0.0,,-271000000.0,-2.43,,20.82,-76.12
CI,CIGNA Corp.,Health Care,Managed Health Care,146.33,8.68,1.59,17.0,70.0,,2094000000.0,8.17,,17.91,-8.81
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,59.17,9.78,0.94,10.0,99.0,,634000000.0,3.87,,15.29,-4.33
CL,Colgate-Palmolive,Consumer Staples,Household Products,66.62,4.78,0.9,463.0,27.0,,1384000000.0,1.53,,43.54,-0.55
CMA,Comerica Inc.,Financials,Regional Banks,41.83,1.9,1.56,7.0,99.0,,521000000.0,2.93,,14.28,-0.06
CME,CME Group Inc.,Financials,Financial Exchanges & Data,90.6,-2.4,1.32,6.0,99.0,,1247000000.0,3.71,,24.42,-58.65
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,479.85,-33.13,2.47,22.0,237.0,,475602000.0,15.3,,31.36,17.2
CMI,Cummins Inc.,Industrials,Industrial Machinery,88.01,-18.88,1.47,19.0,48.0,,1399000000.0,7.86,,11.2,21.44
CMS,CMS Energy,Utilities,MultiUtilities,36.08,1.95,1.04,14.0,12.0,,537000000.0,1.9,,18.99,0.06
CNC,Centene Corporation,Health Care,Managed Health Care,65.81,21.71,2.3,16.0,70.0,,355000000.0,2.99,,22.01,-1.31
CNP,CenterPoint Energy,Utilities,MultiUtilities,18.36,1.44,1.39,20.0,43.0,,-692000000.0,-1.61,,17.31,0.52
COF,Capital One Financial,Financials,Consumer Finance,72.18,-0.62,1.36,9.0,99.0,,4050000000.0,7.15,,10.1,-0.73
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,17.69,-20.1,3.06,6.0,0.0,,-113891000.0,-0.28,,93.09,-0.22
COO,The Cooper Companies,Health Care,Health Care Supplies,134.2,-9.67,1.56,8.0,3.0,,203523000.0,1.79,,33.99,0.86
CSX,CSX Corp.,Industrials,Railroads,25.95,-4.35,1.63,17.0,74.0,,1968000000.0,2.0,,12.98,0.9
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,25.16,0.16,1.52,6.0,3.0,,878000000.0,1.58,,15.92,-13.38
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,60.02,-4.65,1.34,17.0,182.0,,1623600000.0,2.67,,22.48,7.12
CTXS,Citrix Systems,Information Technology,Internet Software & Services,75.65,9.02,1.97,16.0,52.0,,319361000.0,2.01,,37.64,-1.77
CVS,CVS Health,Consumer Staples,Drug Retail,97.77,1.33,1.49,14.0,11.0,,5237000000.0,4.66,,20.98,-7.02
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,89.96,12.84,1.75,3.0,43.0,,4587000000.0,2.46,,36.57,4.76
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,92.86,-2.74,2.69,1.0,38.0,,65900000.0,0.54,,171.96,5.67
D,Dominion Resources,Utilities,Electric Utilities,67.64,-3.99,0.89,15.0,8.0,,1899000000.0,3.21,,21.07,-7.6
DAL,Delta Air Lines,Industrials,Airlines,50.69,13.38,1.44,42.0,31.0,,4526000000.0,5.68,,8.92,-16.73
DD,Du Pont (E.I.),Materials,Diversified Chemicals,66.6,37.49,1.58,20.0,60.0,,1953000000.0,2.17,,30.69,3.25
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Tr,76.27,3.95,1.55,29.0,22.0,,1940000000.0,4.03,,14.84,6.28
DFS,Discover Financial Services,Financials,Consumer Finance,53.62,3.65,1.16,20.0,99.0,,2297000000.0,5.14,,10.43,-0.38
DGX,Quest Diagnostics,Health Care,Health Care Facilities,71.14,15.67,1.38,15.0,11.0,,709000000.0,4.92,,14.46,-4.55
DHR,Danaher Corp.,Industrials,Industrial Conglomerates,70.42,8.92,1.19,14.0,13.0,,3357400000.0,4.81,,14.64,-13.76
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,105.08,2.05,1.19,19.0,26.0,,8382000000.0,4.95,,21.23,-3.99
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,26.68,2.03,1.69,19.0,25.0,,1034000000.0,-2.43,,20.82,-76.12
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,25.22,3.57,1.81,19.0,25.0,,1034000000.0,-2.43,,20.82,-76.12
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,85.73,12.11,1.44,64.0,14.0,,1450000000.0,5.08,,16.88,-0.66
DLR,Digital Realty Trust,Real Estate,Specialized REITs,75.62,15.57,1.07,7.0,39.0,,296689000.0,1.56,,48.47,-7.49
DNB,Dun & Bradstreet,Industrials,Research & Consulting Services,103.93,-1.19,1.34,15.0,38.0,,168800000.0,4.68,,22.21,-11.88
DOV,Dover Corp.,Industrials,Industrial Machinery,61.31,6.98,1.51,24.0,26.0,,869829000.0,5.52,,11.11,-2.29
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,93.2,18.05,1.15,35.0,58.0,,764000000.0,4.0,,23.3,-12.72
DUK,Duke Energy,Utilities,Electric Utilities,71.39,-0.83,1.1,7.0,8.0,,2816000000.0,4.05,,17.63,-4.43
DVA,DaVita Inc.,Health Care,Health Care Facilities,69.71,-3.62,1.21,6.0,79.0,,269732000.0,1.27,,54.89,1.96
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,32.0,-15.48,2.92,205.0,70.0,,-14454000000.0,-35.55,,93.09,1.79
EBAY,eBay Inc.,Information Technology,Internet Software & Services,27.48,12.16,1.41,26.0,271.0,,1725000000.0,1.43,,19.22,4.6
ECL,Ecolab Inc.,Materials,Specialty Chemicals,114.38,3.78,1.08,15.0,2.0,,1002100000.0,3.38,,33.84,-14.93
ED,Consolidated Edison,Utilities,Electric Utilities,64.27,-3.97,1.07,9.0,20.0,,1193000000.0,4.07,,15.79,-3.02
EFX,Equifax Inc.,Industrials,Research & Consulting Services,111.37,14.53,1.08,19.0,15.0,,429100000.0,3.61,,30.85,-8.12
EIX,Edison Int'l,Utilities,Electric Utilities,59.21,-6.14,0.93,10.0,3.0,,1117000000.0,3.13,,18.92,-6.37
EMN,Eastman Chemical,Materials,Diversified Chemicals,67.51,3.65,1.4,22.0,14.0,,848000000.0,5.71,,11.82,-12.31
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,70.79,-4.08,1.94,35.0,39.0,,-4524515000.0,-8.29,,93.09,1.42
EQIX,Equinix,Real Estate,REITs,302.4,10.02,1.31,7.0,164.0,,187774000.0,3.25,,93.05,23.86
EQR,Equity Residential,Real Estate,REITs,81.59,8.04,1.06,8.0,47.0,,870120000.0,2.37,,34.43,-1.27
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,52.13,-21.25,2.36,2.0,201.0,,85171000.0,0.56,,93.09,9.57
ES,Eversource Energy,Utilities,MultiUtilities,51.07,0.71,1.23,8.0,1.0,,878485000.0,2.77,,18.44,-1.17
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,239.41,6.77,1.12,4.0,47.0,,232120000.0,3.5,,68.4,-3.09
ETFC,E*Trade,Financials,Investment Banking & Brokerage,29.64,12.66,1.45,5.0,99.0,,268000000.0,0.92,,32.22,-0.6
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,52.04,1.17,1.52,13.0,10.0,,1979000000.0,4.25,,12.24,-8.64
ETR,Entergy Corp.,Utilities,Electric Utilities,68.36,4.91,1.22,2.0,44.0,,-156734000.0,-0.99,,18.46,6.17
EW,Edwards Lifesciences,Health Care,Health Care Equipment,78.98,11.62,1.67,20.0,257.0,,494900000.0,2.3,,34.34,6.35
EXC,Exelon Corp.,Utilities,MultiUtilities,27.77,-6.4,1.35,9.0,74.0,,2269000000.0,2.69,,17.31,-1.72
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,45.1,-4.45,1.06,27.0,94.0,,457223000.0,2.42,,18.64,5.99
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,124.3,4.89,1.58,16.0,29.0,,764465000.0,5.87,,21.18,-44.1
EXR,Extra Space Storage,Real Estate,Specialized REITs,88.21,13.92,1.19,19.0,39.0,,394950000.0,1.58,,55.83,-14.15
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,14.09,2.4,1.15,26.0,43.0,,7373000000.0,1.86,,7.58,5.11
FAST,Fastenal Co,Industrials,Building Products,40.82,10.98,1.41,29.0,35.0,,516361000.0,1.77,,23.06,4.43
FB,Facebook,Information Technology,Internet Software & Services,104.66,16.22,1.32,8.0,958.0,,3669000000.0,1.31,,79.89,5.88
FBHS,Fortune Brands Home & Security,Industrials,Building Products,55.5,16.82,1.35,13.0,31.0,,315000000.0,1.97,,28.17,-2.1
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,6.77,-31.69,3.8,155.0,5.0,,-12156000000.0,-11.31,,22.81,2.94
FE,FirstEnergy Corp,Utilities,Electric Utilities,31.73,1.18,1.24,5.0,2.0,,578000000.0,1.37,,23.16,-6.07
FIS,Fidelity National Information ,Information Technology,Internet Software & Services,60.6,-10.55,1.15,7.0,29.0,,650800000.0,2.22,,27.3,-19.09
FISV,Fiserv Inc,Information Technology,Internet Software & Services,91.46,5.24,0.9,27.0,18.0,,712000000.0,3.04,,30.09,-7.98
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,28.07,0.21,1.76,15.0,81.0,,241686000.0,1.73,,16.23,4.01
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,47.22,10.82,1.77,14.0,73.0,,412512000.0,2.85,,16.57,14.99
FLS,Flowserve Corporation,Industrials,Industrial Machinery,42.08,2.21,1.78,16.0,27.0,,267669000.0,2.01,,20.94,6.75
FMC,FMC Corporation,Materials,Diversified Chemicals,39.13,15.09,2.18,26.0,5.0,,489000000.0,3.66,,10.69,5.1
FRT,Federal Realty Investment Trus,Real Estate,Retail REITs,146.1,6.81,1.24,13.0,47.0,,210219000.0,3.04,,48.06,-3.97
FSLR,First Solar Inc,Information Technology,Semiconductors,65.99,55.05,2.08,10.0,190.0,,546421000.0,5.42,,12.18,22.56
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,4.67,-2.3,2.03,3.0,496.0,,-196000000.0,-0.29,,14.52,10.5
GD,General Dynamics,Industrials,Aerospace & Defense,137.36,-0.46,0.94,28.0,22.0,,2965000000.0,9.23,,14.88,4.24
GGP,General Growth Properties Inc.,Real Estate,Retail REITs,27.21,4.21,1.39,17.0,47.0,,1374561000.0,3.04,,47.37,-3.97
GILD,Gilead Sciences,Health Care,Biotechnology,101.19,2.69,1.49,98.0,148.0,,18108000000.0,12.37,,8.18,3.16
GLW,Corning Inc.,Information Technology,Electronic Components,18.28,6.59,1.58,7.0,163.0,,1339000000.0,1.02,,17.92,3.62
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,34.01,12.28,1.34,24.0,33.0,,9687000000.0,6.11,,5.57,-4.89
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,85.89,4.03,1.18,22.0,5.0,,705672000.0,4.65,,18.47,7.21
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,37.17,3.39,1.67,14.0,121.0,,456227000.0,2.39,,15.55,5.76
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,32.67,10.45,1.52,8.0,30.0,,307000000.0,1.14,,28.66,3.84
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,202.59,-5.34,1.35,34.0,16.0,,768996000.0,11.69,,17.33,12.11
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,34.04,-5.1,1.97,4.0,189.0,,-671000000.0,-0.79,,93.09,17.35
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,67.36,-7.08,1.58,27.0,92.0,,451838000.0,3.61,,18.66,12.15
HBAN,Huntington Bancshares,Financials,Banks,11.06,4.14,1.34,11.0,99.0,,692957000.0,0.82,,13.49,-0.07
HCA,HCA Holdings,Health Care,Health Care Facilities,67.63,-12.53,1.91,28.0,13.0,,2129000000.0,5.14,,13.16,-7.28
HCN,Welltower Inc.,Real Estate,REITs,68.03,0.04,1.34,6.0,47.0,,849073000.0,2.35,,28.95,-3.74
HCP,HCP Inc.,Real Estate,REITs,34.83,2.22,1.28,6.0,47.0,,-559235000.0,-1.21,,33.65,-1.27
HES,Hess Corporation,Energy,Integrated Oil & Gas,48.48,-4.59,2.4,16.0,103.0,,-3056000000.0,-10.78,,28.41,6.26
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,43.46,-5.01,1.15,10.0,99.0,,1682000000.0,4.05,,10.73,-4.33
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,45.39,-17.25,1.56,41.0,31.0,,752207000.0,3.71,,12.23,6.07
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,103.57,9.32,1.1,26.0,41.0,,4768000000.0,6.11,,16.95,-3.71
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Periphera",15.2,-17.84,3.4,7.0,45.0,,2461000000.0,1.8,,25.31,3.95
HPQ,HP Inc.,Information Technology,Computer Hardware,11.84,2.16,2.37,16.0,18.0,,4554000000.0,1.8,,25.31,3.95
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,39.54,24.5,1.08,17.0,29.0,,686088000.0,3.28,,24.07,-1.98
HSIC,Henry Schein,Health Care,Health Care Distributors,158.19,18.32,1.01,17.0,3.0,,479058000.0,5.78,,27.37,5.93
HST,Host Hotels & Resorts,Real Estate,REITs,15.34,-3.22,1.59,8.0,47.0,,558000000.0,0.22,,69.73,-0.11
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,89.27,-3.26,1.19,51.0,16.0,,512951000.0,3.28,,24.07,-1.98
HUM,Humana Inc.,Health Care,Managed Health Care,178.51,-0.15,1.62,12.0,70.0,,1276000000.0,8.54,,20.9,-8.81
IBM,International Business Machine,Information Technology,IT Consulting & Other Services,137.62,-5.29,1.08,92.0,24.0,,13190000000.0,13.48,,10.21,4.85
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,72.92,-1.57,1.47,228.0,40.0,,192078000.0,2.07,,35.23,-0.98
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,119.64,14.96,1.15,26.0,25.0,,419247000.0,5.19,,23.05,5.05
INTC,Intel Corp.,Information Technology,Semiconductors,34.45,14.04,1.23,19.0,162.0,,11420000000.0,2.41,,14.29,3.95
IP,International Paper,Materials,Paper Packaging,37.7,-0.03,1.3,24.0,27.0,,938000000.0,2.25,,16.76,6.12
IPG,Interpublic Group,Consumer Discretionary,Advertising,23.28,21.82,1.14,23.0,20.0,,454600000.0,1.11,,20.97,0.27
IRM,Iron Mountain Incorporated,Real Estate,REITs,27.01,-13.07,1.3,24.0,15.0,,123241000.0,0.58,,46.57,-2.76
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,546.16,18.73,1.13,14.0,317.0,,588800000.0,15.87,,34.41,42.61
ITW,Illinois Tool Works,Industrials,Industrial Machinery,92.68,12.78,1.14,36.0,130.0,,1899000000.0,5.16,,17.96,7.59
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,33.48,7.07,1.58,12.0,67.0,,968100000.0,2.26,,14.81,4.22
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,73.36,2.96,1.22,33.0,1.0,,427235000.0,3.69,,19.88,2.82
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,41.95,11.54,1.73,7.0,23.0,,302971000.0,2.42,,17.33,6.29
JNPR,Juniper Networks,Information Technology,Networking Equipment,27.6,7.35,1.84,14.0,108.0,,633700000.0,1.62,,17.04,2.75
JPM,JPMorgan Chase & Co.,Financials,Banks,66.03,8.03,1.13,10.0,99.0,,24442000000.0,6.05,,10.91,-1.89
KIM,Kimco Realty,Real Estate,REITs,26.46,8.71,1.22,18.0,47.0,,894115000.0,2.01,,13.16,-1.27
KMB,Kimberly-Clark,Consumer Staples,Household Products,127.3,17.51,0.87,582.0,10.0,,1013000000.0,2.78,,45.79,-2.53
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transpo,14.92,-47.13,3.14,1.0,7.0,,253000000.0,0.1,,149.2,-1.89
KO,Coca Cola Company,Consumer Staples,Soft Drinks,42.96,6.81,0.89,29.0,74.0,,7351000000.0,1.69,,25.42,-1.47
KSU,Kansas City Southern,Industrials,Railroads,74.67,-18.44,2.07,12.0,18.0,,483500000.0,4.41,,16.93,-2.01
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,42.02,1.97,1.2,30.0,36.0,,329200000.0,2.31,,18.19,2.93
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,48.91,1.71,1.57,14.0,25.0,,802894000.0,3.87,,12.64,-0.31
LH,Laboratory Corp. of America Ho,Health Care,Health Care Facilities,123.64,14.17,1.6,9.0,42.0,,436900000.0,5.03,,15.9,-1.29
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,29.63,4.44,1.43,14.0,12.0,,423223000.0,3.03,,20.82,-0.86
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,119.51,14.54,1.51,6.0,7.0,,-240000000.0,-2.97,,17.33,14.28
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,84.26,0.79,1.44,17.0,54.0,,2408400000.0,2.27,,37.12,-0.65
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,217.15,5.25,0.9,116.0,8.0,,3605000000.0,11.62,,18.69,-10.85
LNT,Alliant Energy Corp,Utilities,Electric Utilities,31.23,6.64,1.12,10.0,0.0,,388400000.0,3.36,,9.29,-4.61
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,17.39,-14.29,1.55,2.0,81.0,,252111000.0,0.74,,23.5,19.82
LUV,Southwest Airlines,Industrials,Airlines,43.06,13.86,1.54,30.0,41.0,,2181000000.0,3.3,,13.05,-5.12
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,54.36,24.71,1.46,34.0,61.0,,3433000000.0,9.71,,5.6,-2.25
LYB,LyondellBasell,Materials,Diversified Chemicals,86.9,2.57,1.61,68.0,46.0,,4476000000.0,9.62,,9.03,10.32
MA,Mastercard Inc.,Information Technology,Internet Software & Services,97.36,7.5,1.1,63.0,130.0,,3808000000.0,3.36,,28.98,3.45
